공모명,분야,주최 기관,조회수,링크,이미지,응모대상,접수기간,1등 상금,홈페이지
"2024년 한국전력기술 청렴, 인권 표어 공모전",분야 : 네이밍/슬로건,한국전력기술,"1,688",?c=find&s=1&gub=1&gbn=view&gp=9&ix=93243,/upload/contest/20241107193726_927c08c9.jpg,제한없음,2024-11-08 ~ 2024-11-22,30만원,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93243
한화문화재단 2025 영민 해외 레지던시 지원 프로그램 작가 공모,분야 : 예체능/미술/음악,한화문화재단,346,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93242,/upload/contest/20241107190808_8ff74457.jpg,"일반인, 대학생",2024-11-11 ~ 2024-11-24,,https://www.hanwhafoundation.org/notice/notice-view?boardNo=697
2024년 주남저수지 환경사진 공모전,분야 : 영상/UCC/사진,창원특례시,569,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93239,/upload/contest/20241108022802_73a776ce.jpg,제한없음,2024-10-31 ~ 2024-11-29,100만원,https://www.changwon.go.kr/cwportal/depart/11062/12459/12819.web?gcode=1321&idx=846716&amode=view
제1회 신부 댄싱카니발,분야 : 예체능/미술/음악,신부문화거리상점가 상인회,186,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93238,/upload/contest/20241108021854_19f1a4a2.jpg,"제한없음, 기타",2024-10-31 ~ 2024-11-22,500만원,http://shinbu.modoo.at/
성숙한 전북 교통질서 문화 조성 교통안전 슬로건 공모전,분야 : 네이밍/슬로건,전북경찰서,769,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93237,/upload/contest/20241108020627_8e67be63.jpg,기타,2024-11-01 ~ 2024-11-22,,https://www.facebook.com/poljeonbuk/posts/pfbid0Tx9HNPUMg8g2JRJ5ttqyoKFQiYxeaCra6LgaPqSZN82zhtZWLcjp8jYQ92tk5GBwl
아스펙트이엔티 걸그룹 오디션,분야 : 예체능/미술/음악,아스펙트이엔티,209,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93236,/upload/contest/20241108015957_c91fca94.jpg,기타,2024-11-04 ~ 2024-11-29,,http://asptent.com/Experience/?idx=124787213&bmode=view
2025 광주일보 신춘문예,분야 : 문학/글/시나리오,광주일보,809,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93235,/upload/contest/20241107235206_5a8b0176.jpg,"제한없음, 기타",2024-11-06 ~ 2024-12-05,300만원,http://www.kwangju.co.kr/article.php?aid=1730891100775869026
2025 전북일보 신춘문예 공모,분야 : 문학/글/시나리오,전북일보,638,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93230,/upload/contest/20241107234436_e47c85e9.jpg,"제한없음, 기타",2024-11-05 ~ 2024-12-06,300만원,https://www.jjan.kr/boardDetail?seq=47848
페미닌뷰티 질경이 서포터즈 퓨어즈 1기 모집,분야 : 대외활동/서포터즈,질경이,549,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93228,/upload/contest/20241107103236_271f1f6e.jpg,제한없음,2024-11-04 ~ 2024-11-24,,https://jilgyungyi.com/event/2024/241104/supporters.html
2024년 장애인식개선 다양성의 존중 N행시 공모전,분야 : 문학/글/시나리오,음성군장애인복지관,"1,026",?c=find&s=1&gub=1&gbn=view&gp=10&ix=93222,/upload/contest/20241106223218_058879cf.jpg,기타,2024-10-30 ~ 2024-12-01,5만원,http://www.ecbr.or.kr/bbs/board.php?bo_table=b4x1&wr_id=593
2024 스포츠서울&엔터TV 사진 공모전,분야 : 영상/UCC/사진,엔터TV,773,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93220,/upload/contest/20241106183345_99070a5b.jpg,제한없음,2024-11-06 ~ 2024-11-22,200만원,http://www.enttv.co.kr/sub/notice.php
순천시 2024 시민 정책기획 공모전,분야 : 기획/아이디어,순천시,319,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93216,/upload/contest/20241107004145_a63dbf42.jpg,기타,2024-11-04 ~ 2024-11-25,200만원,http://www.suncheon.go.kr/kr/news/0004/0005/0001/?mode=view&seq=54887
엮은이v.2.0 독서 사진 공모전,분야 : 영상/UCC/사진,엮은이 v.2.0,744,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93215,/upload/contest/20241106163134_e1d15e92.jpg,"대학생, 기타",2024-11-04 ~ 2024-12-31,100만원,https://compilerv2.com/
2024년 경계선지능 인식개선 프로그램 및 홍보컨텐츠 공모전,분야 : 광고/마케팅,서울특별시 경계선지능인 평생교육 지원센터,421,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93205,/upload/contest/20241106150949_24e8db60.jpg,제한없음,2024-11-05 ~ 2024-11-27,200만원,https://sbifc.org/bbs/board.php?bo_table=notice&wr_id=187
[한국사회보장정보원] 2024 사회보장 가명정보 활용·결합 아이디어 공모전,분야 : 기획/아이디어,보건복지부,427,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93204,/upload/contest/20241106150418_423e5f99.jpg,"일반인, 대학생, 기타",2024-11-01 ~ 2024-12-01,100만원,https://www.ssis.or.kr/lay1/bbs/S1T67C95/A/102/view.do?article_seq=126443&cpage=1&rows=10&condition=&keyword=
2024년 합천군 인구청년정책 포스터・아이디어 공모전,분야 : 기획/아이디어,합천군,291,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93199,/upload/contest/20241106234929_ee4e704e.jpg,"제한없음, 기타",2024-11-04 ~ 2024-11-27,100만원,https://www.hc.go.kr/04923/04924/04948.web?not_ancmt_mgt_no=38357&amode=view
대구행복진흥원 CI 공모전,분야 : 디자인/캐릭터/웹툰,대구행복진흥원,592,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93198,/upload/contest/20241106233032_4be10d7a.jpg,제한없음,2024-11-01 ~ 2024-11-28,200만원,https://daegu.pass.or.kr/index.do?menu_id=00005023&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_00267&nttId=8257&bbsTyCode=BBST03&bbsAttrbCode=BBSA03
"이투스 fun,fun shorts 영상공모전",분야 : 영상/UCC/사진,이투스,484,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93192,/upload/contest/20241106231006_32f3186c.jpg,기타,2024-10-25 ~ 2024-12-01,,https://www.etoos.com/ecommunity/event/2024/10/shorts/
2024 국립부경대학교 방송국 PBS 영상 공모전,분야 : 영상/UCC/사진,국립부경대학교 방송국 PBS,409,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93187,/upload/contest/20241106013229_f42c2a70.jpg,"대학생, 청소년, 기타",2024-11-04 ~ 2024-12-02,20만원,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93187
성남청년 ESG 봉사단 참가 청년 및 대학생 모집,분야 : 봉사활동,성남시청소년재단,304,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93186,/upload/contest/20241105223453_30853a0c.jpg,기타,2024-11-05 ~ 2024-12-23,,https://www.snyouth.or.kr/fmcs/289?action=read&action-value=0cd648981683ae9e8c8cb5a4cb68dfd9
광주 평생교육 정책 아이디어 공모전,분야 : 기획/아이디어,광주인재평생교육진흥원,332,?c=find&s=1&gub=1&gbn=view&gp=10&ix=93184,/upload/contest/20241105222129_e5b9f1eb.jpg,제한없음,2024-11-01 ~ 2024-11-22,50만원,https://www.gie.kr/boardView.do?pageId=www106&boardId=NOTICE&seq=854658
