공모명,분야,주최 기관,조회수,링크,이미지,응모대상,접수기간,1등 상금,홈페이지
제8회 다새쓰 방정환문학 공모전,분야 : 문학/글/시나리오,한국방정환재단,386,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93456,/upload/contest/20241118170457_e860a7e7.jpg,"일반인, 대학생, 기타",2024-11-14 ~ 2025-05-12,"1,000만원",https://children365.or.kr/archives/20028
[원광종합사회복지관] 초저가 코스프레 사진 콘테스트,분야 : 영상/UCC/사진,원광종합사회복지관,271,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93455,/upload/contest/20241119012236_3418ba0c.jpg,기타,2024-11-01 ~ 2024-11-29,,https://pf.kakao.com/_PInIs/107318980
한국세무사회 세무사 숏폼 이미지 공모전,분야 : 광고/마케팅,한국세무사회,167,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93454,/upload/contest/20241118165804_289eb85c.jpg,제한없음,2024-11-14 ~ 2025-01-10,200만원,https://www.kacpta.or.kr/notice_view/not_notice/notice_n.asp?mode=view&GotoPage=1&bbs_key=3314
아임인부산 미래세대 아이디어 공모전,분야 : 기획/아이디어,아임인부산,192,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93453,/upload/contest/20241118224112_3728ec16.jpg,기타,2024-11-06 ~ 2024-11-24,,https://iminbusan.or.kr/boards/ideas
KBS 우리 아이 행복한 순간 공모전,분야 : 영상/UCC/사진,KBS 한국방송,476,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93452,/upload/contest/20241118165204_32366188.jpg,제한없음,2024-11-07 ~ 2024-11-24,300만원,https://m.site.naver.com/1wVmj
2024 가족과 행복한 순간 in 안동 공모전,분야 : 영상/UCC/사진,안동시,274,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93451,/upload/contest/20241118183817_5dc20e4e.jpg,제한없음,2024-10-02 ~ 2024-11-30,100만원,https://www.andong.go.kr/portal/saeol/gosi/view.do?notAncmtMgtNo=55569&isLinkage=Y&mId=0401020100
KoCACA 창립 30주년 기념 로고 및 슬로건 디자인 공모전,분야 : 디자인/캐릭터/웹툰,한국문화예술회관연합회,503,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93445,/upload/contest/20241118115028_28063e5e.jpg,제한없음,2024-11-18 ~ 2024-12-11,150만원,https://www.kocaca.or.kr/shop_contents/myboard_read.htm?myboard_code=myboard8&myboard_idx=67842&idx=813641
[헤드스파7] 국민BM 2기 모집,분야 : 대외활동/서포터즈,주식회사 피알앤,335,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93441,/upload/contest/20241118114543_1a6f09d3.jpg,"일반인, 대학생",2024-11-15 ~ 2024-11-24,,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93441
국가중요농업유산 창원 독뫼 감농업 홍보영상 공모전,분야 : 영상/UCC/사진,창원시농업기술센터소,180,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93440,/upload/contest/20241118113513_4c030d6c.jpg,제한없음,2024-12-02 ~ 2024-12-27,200만원,https://culture.changwon.go.kr/index.changwon?contentId=619&bbsId=BBSMSTR_000000000502&nttId=27711
국가안보대학생위원회 위원 공개모집 [대한민국부사관정책발전협의회],분야 : 대외활동/서포터즈,대한민국부사관정책발전협의회,338,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93439,/upload/contest/20241118020006_d6ed5ba0.jpg,"일반인, 대학생, 기타",2024-11-13 ~ 2024-11-27,,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93439
제 4회 WONDERCHILD 창의발명대회,분야 : 과학/공학,매일경제MBN & GIA 미네르바 바칼로레아,415,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93437,/upload/contest/20241118014326_00bdb733.jpg,"청소년, 어린이, 기타",2024-11-15 ~ 2025-01-20,,https://wonderchild.co.kr/
오션과 함께하는 짤 제목 짓기 공모전,분야 : 네이밍/슬로건,동아시아 바다 공동체 OSEAN,850,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93433,/upload/contest/20241118012445_d33fd3a4.jpg,제한없음,2024-11-16 ~ 2024-11-22,,https://www.osean.net/education/?q=YToyOntzOjQ6InBhZ2UiO2k6MTtzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=126598508&t=board
제 1회 유스튜디오 청년 상경 공모전,분야 : 문학/글/시나리오,유스튜디오,420,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93432,/upload/contest/20241118011517_31cf8552.gif,대학생,2024-11-01 ~ 2024-12-31,100만원,http://youstudio.co.kr
2024 VIGLOO 숏폼 드라마 배틀 - 대학리그,분야 : 영상/UCC/사진,스푼랩스,370,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93419,/upload/contest/20241115191749_6826b5dd.jpg,대학생,2024-11-18 ~ 2024-12-13,,https://www.spoonlabs.com/kr/
